dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
17,[40|40|40|40],effn_w5_d320,777,test,1.5770306322592265,0.13447444710304568
17,[40|40|40|40],effn_w5_d320,777,train,1.2464244714533532,0.11837771010339651
20,[40|40|40],effn_w5_d320,777,val,2.2140007473402328,0.15500296609062955
20,[40|40|40],effn_w5_d320,777,test,2.1585993225061424,0.15263682319102717
20,[40|40|40],effn_w5_d320,777,train,1.8793785713952758,0.14214478235235245
18,[40|40|40],effn_w5_d320,777,val,2.061220321140982,0.15332481328159878
18,[40|40|40],effn_w5_d320,777,test,2.014916761085881,0.1516260040718882
18,[40|40|40],effn_w5_d320,777,train,1.6707049255996014,0.1378666106248772
15,[40|40|40],effn_w5_d320,777,val,1.5621423374335994,0.1393013837802333
15,[40|40|40],effn_w5_d320,777,test,1.5506155723779058,0.13747781543306017
15,[40|40|40],effn_w5_d320,777,train,1.26438321319206,0.12352541082590154
24,[40|40|40|40],effn_w5_d320,777,val,2.3368802139058427,0.153224978661358
24,[40|40|40|40],effn_w5_d320,777,test,2.3280109426948234,0.1531316417354198
24,[40|40|40|40],effn_w5_d320,777,train,1.9648796611626758,0.13883576351206117
14,[80|80|80],effn_w5_d320,777,val,1.1383917778588637,0.11679745368582899
14,[80|80|80],effn_w5_d320,777,test,1.1670164085330403,0.117442361526098
14,[80|80|80],effn_w5_d320,777,train,0.7581570631965939,0.09604488623458174
24,[80|80|80],effn_w5_d320,777,val,1.8798993621451172,0.13515370736568638
24,[80|80|80],effn_w5_d320,777,test,1.8339722525773143,0.1343349562840192
24,[80|80|80],effn_w5_d320,777,train,1.1620747171283572,0.10460394454918755
23,[80|80|80],effn_w5_d320,777,val,1.821616374581855,0.13220771718130805
23,[80|80|80],effn_w5_d320,777,test,1.8431063609554479,0.1331032609786664
23,[80|80|80],effn_w5_d320,777,train,1.184064283367484,0.10666588610931295
17,[80|80|80|80],effn_w5_d320,777,val,1.3355743022107214,0.11945339635327663
17,[80|80|80|80],effn_w5_d320,777,test,1.2619666432964143,0.11609072417831894
17,[80|80|80|80],effn_w5_d320,777,train,0.7315299486459234,0.08985808997612624
19,[80|80|80|80|80],effn_w5_d320,777,val,1.3857623797655674,0.11857181818626061
19,[80|80|80|80|80],effn_w5_d320,777,test,1.4346781533815782,0.1200378430507697
19,[80|80|80|80|80],effn_w5_d320,777,train,0.7202859159021002,0.08736200552896886
16,[40|40|40],effn_w5_d320,777,val,1.644459607102457,0.13931506846619496
16,[40|40|40],effn_w5_d320,777,test,1.6717469775224136,0.1394834797648316
16,[40|40|40],effn_w5_d320,777,train,1.3341691123123007,0.1247366212487484
19,[80|80|80|80],effn_w5_d320,777,val,1.3991833335942419,0.11887194741485528
19,[80|80|80|80],effn_w5_d320,777,test,1.443935189327945,0.12030611252144001
19,[80|80|80|80],effn_w5_d320,777,train,0.7591005270317114,0.0895285458807687
18,[80|80|80|80],effn_w5_d320,777,val,1.3066643937703228,0.11632764484144202
18,[80|80|80|80],effn_w5_d320,777,test,1.332593661055968,0.1178975852998288
18,[80|80|80|80],effn_w5_d320,777,train,0.7146389304743961,0.08764915799348603
24,[80|80|80|80],effn_w5_d320,777,val,1.7567931381828399,0.12862467658429833
24,[80|80|80|80],effn_w5_d320,777,test,1.7723101326350428,0.1289711461800047
24,[80|80|80|80],effn_w5_d320,777,train,0.9431296307690801,0.09426607459883327
22,[40|40|40|40],effn_w5_d320,777,val,2.1810801271384967,0.14906260685187364
22,[40|40|40|40],effn_w5_d320,777,test,2.1717977338517507,0.149266502491886
22,[40|40|40|40],effn_w5_d320,777,train,1.803428288515585,0.13504515821819543
15,[40|40|40|40|40],effn_w5_d320,777,val,1.3809495688864855,0.12834185788785266
15,[40|40|40|40|40],effn_w5_d320,777,test,1.402352037123946,0.1283205305906725
15,[40|40|40|40|40],effn_w5_d320,777,train,1.0204696954081713,0.11001558660254276
14,[40|40|40|40|40],effn_w5_d320,777,val,1.2393582487921275,0.12223771100069399
14,[40|40|40|40|40],effn_w5_d320,777,test,1.2685722956403245,0.12354430849884912
14,[40|40|40|40|40],effn_w5_d320,777,train,0.9246056566705022,0.106684464913002
16,[80|80|80|80],effn_w5_d320,777,val,1.1966530680622351,0.11424933661119838
16,[80|80|80|80],effn_w5_d320,777,test,1.254778961659705,0.116427214225684
16,[80|80|80|80],effn_w5_d320,777,train,0.7027921206075259,0.08901016599559468
22,[40|40|40],effn_w5_d320,777,val,2.277328915638547,0.15226774971896248
22,[40|40|40],effn_w5_d320,777,test,2.2781752507569464,0.15339522494920713
22,[40|40|40],effn_w5_d320,777,train,2.003720078163816,0.14241905788461812
17,[40|40|40|40|40],effn_w5_d320,777,val,1.787671297362609,0.1443795691733177
17,[40|40|40|40|40],effn_w5_d320,777,test,1.741039862662294,0.1431917861764509
17,[40|40|40|40|40],effn_w5_d320,777,train,1.369247093233604,0.12566807093655402
20,[80|80|80|80],effn_w5_d320,777,val,1.5096793145617196,0.1223488284383272
20,[80|80|80|80],effn_w5_d320,777,test,1.4696442183204426,0.120413974787803
20,[80|80|80|80],effn_w5_d320,777,train,0.7870865674154298,0.08980849612200516
14,[40|40|40|40],effn_w5_d320,777,val,1.321913607890932,0.12665587980578444
