,dataset_params.dim,epochs,seed,set,MSE,MAPE
63,19,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1200894976109939,0.1034222724357061
64,19,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.40113848919898387,0.06509229250764602
65,19,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0992084958349135,0.10275931895294821
66,19,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.123648508666493,0.1039442691464059
67,19,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.17808511696473314,0.044292068729581906
68,19,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.09334758949019,0.10308925764829319
69,19,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1134608533521027,0.10243888451757757
70,19,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.13114455551713444,0.03815599221050314
71,19,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0762166435657414,0.10171728175762182
72,20,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2077011096938255,0.1365837625438882
73,20,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6618154949930724,0.08854954801767281
74,20,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2251363705912806,0.11591487635444232
75,20,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1412861668659213,0.10314957638118938
76,20,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.4103178953787874,0.06500496177790187
77,20,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1615767313463403,0.10454244145798838
78,20,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0922799862267587,0.10126378088908526
79,20,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.25659343817723546,0.05186005129829795
80,20,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1150724276966033,0.10194640778120219
81,20,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1414736370345617,0.10338595122362247
82,20,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.11705987173731121,0.03569825025986968
83,20,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1555397764131412,0.10366617915221266
84,21,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2999337984861887,0.1466169313348693
85,21,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6881654882100335,0.08681499826000104
