dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
5,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.026929814669795476,0.02483098371971248
20,50000,[40|40|40|40|40],effn_w5_d320,777,val,2.4869022702158463,0.16389543386827163
20,50000,[40|40|40|40|40],effn_w5_d320,777,test,2.429310843551539,0.160537354291036
20,50000,[40|40|40|40|40],effn_w5_d320,777,train,2.0032293783017607,0.14643493063578822
16,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.1975875748468348,0.11258679969346885
16,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.1788574447555613,0.11159881948410041
16,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.2774513921298319,0.058165734366220544
9,50000,[20|20|20|20|20],effn_w5_d320,777,val,1.5295250378739529,0.16245544867830158
9,50000,[20|20|20|20|20],effn_w5_d320,777,test,1.5108560712671941,0.1619494405742814
9,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.3322972450477413,0.15079331389150358
20,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.7375952776602843,0.1716062777375159
20,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.693208699006545,0.17008957897129
20,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.553243525323935,0.16544603156439097
3,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.08155349287089624,0.041188310253464804
3,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.0861210523516183,0.042929502559693
3,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.05301021175279519,0.036392957902492896
14,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.0143291968792685,0.1074682933722404
14,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.0475694926374475,0.1088322094885556
14,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.3322548107487373,0.0653743769923934
8,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.5296163387640708,0.09019377890437849
8,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.5387032366196371,0.08991169062781801
8,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.21236590758805582,0.05914264200636953
17,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.9098569568532704,0.1501386013681034
17,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.9596266189051763,0.1511525970569812
17,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.3063824739048897,0.12334159161050086
2,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.012724450074408545,0.0215144794181933
2,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.01163696225407543,0.0207896012517956
2,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.0091372349797994,0.019905845267993733
11,50000,[20|20|20|20|20],effn_w5_d320,777,val,1.8187451534104508,0.1681782419399732
11,50000,[20|20|20|20|20],effn_w5_d320,777,test,1.8183964987483225,0.166794464175776
11,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.6102593768082956,0.15707915118144222
12,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.9050513758989178,0.1048230557981507
12,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.9207062107255531,0.10606672202428659
12,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.33219505361005564,0.0679030462027184
2,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.02396080940451611,0.028052891723521902
2,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.02233525580254361,0.028407796246678742
2,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.018165476883312097,0.026549710667023496
18,50000,[320|320|320|320|320],effn_w5_d320,777,val,1.0979678285517962,0.1039184968070557
18,50000,[320|320|320|320|320],effn_w5_d320,777,test,1.1162805088660852,0.10580397488714059
18,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.1564161089913805,0.04200007871528658
6,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.5011639291627055,0.09677152402191809
6,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.5223431353459095,0.096843952920743
6,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.3509835596801831,0.08295727596343944
19,50000,[320|320|320|320|320],effn_w5_d320,777,val,1.2113507460110835,0.1066325958307357
19,50000,[320|320|320|320|320],effn_w5_d320,777,test,1.2091231659313455,0.1068092456388892
19,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.17291812182743255,0.043945600334258046
18,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.8756135296943026,0.1444561583791026
18,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.8785162919056504,0.1453395350142714
18,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.296440011089198,0.11999842929930152
5,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.4900873979983874,0.1034352793121001
5,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.5102784880574742,0.10538590140824461
5,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.39035241389069114,0.0944315050345045
19,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.4749716511712618,0.11944182893634979
19,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.4154576294748076,0.1184285960029336
19,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.36244424703955413,0.06363267633493533
12,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.2706146322936,0.12853378122309791
12,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.2613865236496409,0.129010533042129
12,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.8653955316080277,0.10822512311492881
7,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.5814173529471227,0.09976591677969039
7,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.5613346652875638,0.097871918801264
7,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.3445565283374111,0.08039081587945626
17,50000,[320|320|320|320|320],effn_w5_d320,777,val,1.0731616076967943,0.10334297228738633
17,50000,[320|320|320|320|320],effn_w5_d320,777,test,1.159676144802291,0.10719598618529498
17,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.1573653629040037,0.042788450326009767
2,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.03630565311686863,0.03728963120448969
2,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.03742634195840647,0.03807378404502661
2,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.032374385831652176,0.036442414956492614
15,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.3527012537601224,0.1697152543415749
15,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.375992200291882,0.17038507803860142
15,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.1821645739538686,0.16363602039885294
19,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.821316344339175,0.17717262950862078
19,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.6879311940770587,0.1744253963359908
19,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.5097336171223077,0.1680162737855494
11,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.9347744027365902,0.11158886512953943
11,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.9114499204294956,0.10938660694106561
11,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.4406453860923581,0.07955547297109226
5,50000,[20|20|20|20|20],effn_w5_d320,777,val,0.6223398908523243,0.12008626615374231
5,50000,[20|20|20|20|20],effn_w5_d320,777,test,0.6291684857829407,0.11936052460687938
5,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.5492118136275795,0.11352572364215607
9,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.7692435542013946,0.1058214336820597
9,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.7779668175450104,0.10781179845166362
9,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.4080163855625811,0.08123415273648311
15,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.6111784412375363,0.13763810909051655
15,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.6491000758676821,0.13882711385282
15,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.1104227620373628,0.11574569422292665
3,50000,[20|20|20|20|20],effn_w5_d320,777,val,0.2661125395225134,0.0869437276407915
