dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
10,[40|40|40|40|40],effn_w5_d320,777,train,0.6546671145542164,0.09798883533557984
10,[40|40|40|40],effn_w5_d320,777,val,0.8530639411210003,0.10995295129648075
10,[40|40|40|40],effn_w5_d320,777,test,0.8271807944517137,0.108730163149801
10,[40|40|40|40],effn_w5_d320,777,train,0.6630199314932417,0.09813465196125638
13,[80|80|80],effn_w5_d320,777,val,1.1118793146939339,0.11745476625808103
13,[80|80|80],effn_w5_d320,777,test,1.1168077449789442,0.11733294623862671
13,[80|80|80],effn_w5_d320,777,train,0.7497877430591992,0.09798453009732212
4,[40|40|40|40|40],effn_w5_d320,777,val,0.31990208352962335,0.08273947847653974
4,[40|40|40|40|40],effn_w5_d320,777,test,0.31727575582671413,0.08387637615815516
4,[40|40|40|40|40],effn_w5_d320,777,train,0.2948659588474347,0.0802253370700984
7,[80|80|80],effn_w5_d320,777,val,0.5847562346243754,0.10061920282490558
7,[80|80|80],effn_w5_d320,777,test,0.5985094084889532,0.10137223863553786
7,[80|80|80],effn_w5_d320,777,train,0.4585541206556215,0.09030269805435277
10,[80|80|80|80],effn_w5_d320,777,val,0.7510223370674178,0.10121890353683498
10,[80|80|80|80],effn_w5_d320,777,test,0.7401430252098493,0.10032761875943763
10,[80|80|80|80],effn_w5_d320,777,train,0.4659290111764059,0.08255022362079677
9,[40|40|40],effn_w5_d320,777,val,0.9153807246719083,0.11933058697766298
9,[40|40|40],effn_w5_d320,777,test,0.8828496254867403,0.1184211321891303
9,[40|40|40],effn_w5_d320,777,train,0.7681076787792614,0.11034488326747975
2,[80|80|80],effn_w5_d320,777,val,0.02189600321447144,0.03165432045053379
2,[80|80|80],effn_w5_d320,777,test,0.022535212068550893,0.03791954315497746
2,[80|80|80],effn_w5_d320,777,train,0.020080002694238045,0.03859557820413065
5,[80|80|80|80|80],effn_w5_d320,777,val,0.38356273978644656,0.08381440289403778
5,[80|80|80|80|80],effn_w5_d320,777,test,0.37654273170267677,0.08297295606472403
5,[80|80|80|80|80],effn_w5_d320,777,train,0.2852399755654593,0.07353593072169021
13,[40|40|40],effn_w5_d320,777,val,1.3419516424246565,0.13204621796814664
13,[40|40|40],effn_w5_d320,777,test,1.3471113491657745,0.13194838524588887
13,[40|40|40],effn_w5_d320,777,train,1.0306346442471643,0.11569123820149985
2,[40|40|40|40],effn_w5_d320,777,val,0.032510026701575774,0.03500207136252368
2,[40|40|40|40],effn_w5_d320,777,test,0.03609497596570351,0.03490345340253535
